second,V_supply,V_in,I_other,I_in
+2.317255E+00,+0.0E+00,+2.443515E+00,-669E-06,+0.0E+00
+2.325005E+00,-0.0E+00,+2.443515E+00,+0.0E+00,+0.0E+00
+2.332755E+00,-66.946E-03,+2.410042E+00,+2.678E-03,+0.0E+00
+2.340505E+00,-133.891E-03,+2.443515E+00,+669E-06,-0.0E+00
+2.348255E+00,+0.0E+00,+2.443515E+00,+669E-06,-33.473E-03
+2.356005E+00,-0.0E+00,+2.476987E+00,-669E-06,+0.0E+00
+2.363755E+00,-66.946E-03,+2.443515E+00,-669E-06,+0.0E+00
+2.371505E+00,+0.0E+00,+2.476987E+00,-1.339E-03,+0.0E+00
+2.379255E+00,+0.0E+00,+2.443515E+00,+0.0E+00,+0.0E+00
+2.387005E+00,+0.0E+00,+2.443515E+00,+0.0E+00,-0.0E+00
+2.394755E+00,+0.0E+00,+2.443515E+00,-0.0E+00,-33.473E-03
+2.402505E+00,+0.0E+00,+2.476987E+00,-669E-06,-33.473E-03
+2.410255E+00,-0.0E+00,+2.443515E+00,-669E-06,+0.0E+00
+2.418005E+00,-66.946E-03,+2.443515E+00,-0.0E+00,-0.0E+00
+2.425755E+00,+0.0E+00,+2.510460E+00,-669E-06,-33.473E-03
+2.433505E+00,+0.0E+00,+2.443515E+00,+669E-06,-0.0E+00
+2.441255E+00,+0.0E+00,+2.443515E+00,-0.0E+00,-33.473E-03
+2.449005E+00,+0.0E+00,+2.443515E+00,-1.339E-03,+0.0E+00
+2.456755E+00,+0.0E+00,+2.476987E+00,-2.678E-03,+0.0E+00
+2.464505E+00,+0.0E+00,+2.443515E+00,+1.339E-03,+33.473E-03
+2.472255E+00,+0.0E+00,+2.443515E+00,-669E-06,-33.473E-03
+2.480005E+00,-0.0E+00,+2.443515E+00,-2.008E-03,+66.946E-03
+2.487755E+00,-66.946E-03,+2.476987E+00,-669E-06,+0.0E+00
+2.495505E+00,+0.0E+00,+2.443515E+00,-2.008E-03,-0.0E+00
+2.503255E+00,+0.0E+00,+2.476987E+00,+1.339E-03,-33.473E-03
+2.511005E+00,+0.0E+00,+2.410042E+00,+669E-06,-0.0E+00
+2.518755E+00,-0.0E+00,+2.443515E+00,-2.008E-03,-33.473E-03
+2.526505E+00,-66.946E-03,+2.443515E+00,-0.0E+00,+0.0E+00
+2.534255E+00,+0.0E+00,+2.443515E+00,-1.339E-03,+33.473E-03
+2.542005E+00,+0.0E+00,+2.443515E+00,-669E-06,-33.473E-03
+2.549755E+00,-0.0E+00,+2.410042E+00,+0.0E+00,+0.0E+00
+2.557505E+00,-66.946E-03,+2.476987E+00,+669E-06,-0.0E+00
+2.565255E+00,+0.0E+00,+2.443515E+00,+1.339E-03,-33.473E-03
+2.573005E+00,+0.0E+00,+2.510460E+00,-669E-06,+0.0E+00
+2.580755E+00,+0.0E+00,+2.443515E+00,-2.678E-03,-0.0E+00
+2.588505E+00,+0.0E+00,+2.443515E+00,-669E-06,-33.473E-03
+2.596255E+00,+0.0E+00,+2.476987E+00,-1.339E-03,-33.473E-03
+2.604005E+00,+0.0E+00,+2.443515E+00,-0.0E+00,+0.0E+00
+2.611755E+00,+0.0E+00,+2.410042E+00,-1.339E-03,+0.0E+00
